association_id,offender_id_a,offender_id_b,relationship_type,strength,first_seen_crime_id,relationship_type_id
726,111,383,Known associate,0.65,843,4
727,217,383,Family,0.96,843,2
728,112,130,Gang member,0.41,176,3
729,112,211,Gang member,0.31,467,3
730,112,394,Co-accused,0.78,467,1
731,211,394,Gang member,0.31,467,3
732,112,195,Co-accused,0.84,691,1
733,112,266,Family,0.61,1101,2
734,112,217,Family,0.5,1123,2
735,113,228,Gang member,0.42,8,3
736,113,366,Family,0.69,8,2
737,228,366,Family,0.94,8,2
738,113,220,Co-accused,0.33,1403,1
739,113,262,Known associate,0.73,1694,4
740,113,295,Gang member,0.32,1869,3
741,114,164,Family,0.59,363,2
742,114,394,Family,0.83,363,2
743,164,394,Family,0.42,363,2
744,114,139,Family,0.32,607,2
745,114,340,Gang member,0.96,607,3
746,139,340,Family,0.96,607,2
747,114,143,Known associate,0.89,1461,4
748,114,172,Co-accused,0.93,1461,1
749,143,172,Co-accused,0.48,1461,1
750,115,258,Family,0.39,18,2
751,115,290,Family,0.51,18,2
752,258,290,Known associate,0.91,18,4
753,115,231,Known associate,0.75,233,4
754,115,303,Known associate,0.81,233,4
755,231,303,Family,0.54,233,2
756,115,245,Family,0.8,290,2
757,115,386,Co-accused,0.47,290,1
758,245,386,Family,0.38,290,2
759,115,179,Gang member,0.48,478,3
760,115,370,Family,0.65,648,2
761,115,377,Gang member,0.74,1681,3
762,116,372,Gang member,0.66,1132,3
763,116,382,Family,0.84,1132,2
764,372,382,Gang member,0.96,1132,3
765,116,151,Gang member,0.86,1140,3
766,116,121,Family,0.6,1353,2
767,116,160,Known associate,0.48,1353,4
768,121,160,Known associate,0.39,1353,4
769,117,269,Known associate,0.84,83,4
770,117,191,Known associate,0.99,137,4
771,117,200,Known associate,0.54,137,4
772,191,200,Known associate,0.75,137,4
773,117,382,Gang member,0.92,239,3
774,117,125,Co-accused,0.8,476,1
775,117,277,Gang member,0.75,1333,3
776,117,393,Known associate,0.46,1554,4
777,118,178,Family,0.53,364,2
778,119,267,Known associate,0.55,9,4
779,119,162,Gang member,0.69,19,3
780,119,234,Gang member,0.99,19,3
781,162,234,Gang member,0.4,19,3
782,119,201,Gang member,0.51,945,3
783,119,222,Known associate,0.81,945,4
784,201,222,Gang member,0.54,945,3
785,119,399,Family,0.66,1076,2
786,119,279,Gang member,0.99,1583,3
787,120,225,Family,0.87,298,2
788,120,165,Family,0.77,1368,2
789,121,394,Known associate,0.72,61,4
790,121,190,Gang member,0.77,347,3
791,121,231,Gang member,0.89,1990,3
792,122,162,Co-accused,0.38,946,1
793,122,222,Gang member,0.87,946,3
794,162,222,Family,0.75,946,2
795,122,295,Co-accused,0.85,1114,1
796,122,373,Co-accused,0.93,1114,1
797,295,373,Family,0.64,1114,2
798,122,376,Co-accused,0.37,1185,1
799,123,196,Known associate,0.91,1296,4
800,123,245,Co-accused,0.95,1359,1
801,123,288,Known associate,0.82,1436,4
802,124,377,Co-accused,0.75,159,1
803,124,307,Gang member,0.45,197,3
804,124,169,Known associate,0.47,1306,4
805,124,186,Known associate,0.41,1571,4
806,125,356,Co-accused,0.38,68,1
807,125,201,Family,0.91,112,2
808,125,249,Family,0.54,116,2
809,125,175,Co-accused,0.56,1088,1
810,126,334,Family,0.92,84,2
811,126,139,Known associate,0.32,475,4
812,126,261,Family,0.87,599,2
813,126,149,Gang member,0.38,891,3
814,126,161,Known associate,0.35,1084,4
815,127,375,Co-accused,0.34,493,1
816,127,224,Known associate,0.51,702,4
817,127,324,Co-accused,0.32,1334,1
818,128,145,Family,0.64,956,2
819,128,172,Gang member,0.83,1189,3
820,129,173,Family,0.54,1136,2
821,129,162,Known associate,0.4,1256,4
822,129,320,Family,0.74,1901,2
823,130,256,Co-accused,0.88,129,1
824,130,321,Gang member,0.57,1147,3
825,130,234,Gang member,0.95,1482,3
826,130,243,Family,0.87,1508,2
827,131,175,Family,0.82,281,2
828,132,303,Co-accused,0.36,656,1
829,132,274,Gang member,0.36,700,3
830,132,319,Co-accused,0.62,1886,1
831,133,277,Gang member,0.9,349,3
832,133,274,Family,0.99,433,2
833,133,208,Known associate,0.38,547,4
834,133,372,Gang member,0.6,1655,3
835,134,228,Known associate,0.39,1771,4
836,134,397,Gang member,0.32,1960,3
837,135,386,Family,0.77,11,2
838,135,150,Known associate,0.81,446,4
839,135,211,Co-accused,0.5,654,1
840,135,370,Gang member,0.65,848,3
841,135,238,Gang member,0.88,1059,3
842,136,396,Co-accused,0.59,1119,1
843,136,286,Known associate,0.8,1142,4
844,136,215,Gang member,0.78,1703,3
845,136,292,Known associate,0.94,1874,4
846,137,238,Co-accused,0.55,865,1
847,138,370,Known associate,0.76,421,4
848,138,143,Known associate,0.47,529,4
849,138,399,Known associate,0.64,1800,4
850,138,396,Known associate,0.39,1885,4
851,139,249,Family,0.86,205,2
852,139,161,Gang member,0.76,957,3
853,139,392,Known associate,0.87,1287,4
854,140,264,Family,0.94,1131,2
855,140,202,Gang member,0.43,1344,3
856,141,265,Known associate,0.54,1073,4
857,141,227,Known associate,0.32,1157,4
858,142,310,Known associate,0.41,45,4
859,142,248,Co-accused,0.31,378,1
860,142,197,Known associate,0.75,1640,4
861,143,169,Family,0.38,379,2
862,143,281,Family,0.61,1887,2
863,144,244,Known associate,0.86,165,4
864,145,224,Known associate,0.45,631,4
865,145,278,Co-accused,0.8,1642,1
866,147,211,Family,0.79,706,2
867,147,177,Family,0.57,750,2
868,147,190,Gang member,0.98,1588,3
869,147,261,Family,0.72,1844,2
870,148,281,Gang member,0.47,211,3
871,148,241,Known associate,0.86,727,4
872,149,230,Co-accused,0.32,950,1
873,149,400,Gang member,0.76,1486,3
874,150,156,Known associate,0.96,71,4
875,150,223,Known associate,0.9,1187,4
876,151,292,Gang member,0.91,122,3
877,151,375,Known associate,0.58,279,4
878,151,362,Gang member,0.62,826,3
879,151,159,Family,0.77,1337,2
880,152,200,Gang member,0.37,111,3
881,152,227,Known associate,0.41,562,4
882,152,198,Known associate,0.67,1099,4
883,152,298,Family,0.86,1197,2
884,152,330,Co-accused,0.45,1529,1
885,153,219,Co-accused,0.82,682,1
886,153,373,Co-accused,0.34,1666,1
887,153,201,Known associate,0.39,1926,4
888,155,158,Gang member,0.77,59,3
889,156,380,Known associate,0.69,1159,4
890,157,396,Family,0.4,878,2
891,157,179,Known associate,0.88,1743,4
892,158,367,Gang member,0.39,80,3
893,158,375,Co-accused,0.54,270,1
894,158,313,Known associate,0.52,604,4
895,159,313,Family,0.92,1894,2
896,160,294,Family,0.35,390,2
897,161,209,Co-accused,0.46,818,1
898,161,299,Gang member,0.54,1053,3
899,161,220,Co-accused,0.94,1447,1
900,162,173,Known associate,0.85,1767,4
901,163,273,Known associate,0.68,305,4
902,163,274,Gang member,0.53,856,3
903,164,281,Gang member,0.81,1195,3
904,164,229,Family,0.45,1320,2
905,165,254,Family,0.85,459,2
906,165,291,Gang member,0.77,984,3
907,165,287,Gang member,0.9,1183,3
908,166,231,Family,0.36,230,2
909,166,353,Gang member,0.3,1475,3
910,166,248,Gang member,0.95,1702,3
911,166,183,Family,0.76,1938,2
912,167,235,Family,0.69,119,2
913,167,266,Gang member,0.77,428,3
914,167,191,Family,0.64,491,2
915,169,288,Co-accused,0.52,235,1
916,169,321,Family,0.76,1008,2
917,170,182,Gang member,0.33,581,3
918,170,200,Family,0.9,1712,2
919,171,220,Known associate,0.33,315,4
920,171,348,Family,0.56,1216,2
921,172,247,Co-accused,0.78,761,1
922,172,191,Gang member,1,1953,3
923,173,233,Known associate,0.98,132,4
924,173,187,Family,0.66,146,2
925,173,307,Known associate,0.5,769,4
926,173,391,Family,0.5,952,2
927,173,213,Gang member,0.44,1727,3
928,174,183,Co-accused,0.36,171,1
929,174,294,Family,0.83,635,2
930,174,262,Known associate,0.52,1200,4
931,175,369,Co-accused,0.42,114,1
932,175,311,Gang member,0.37,867,3
933,175,308,Co-accused,0.58,1122,1
934,175,218,Co-accused,0.8,1821,1
935,176,336,Family,0.47,418,2
936,176,338,Gang member,0.78,1768,3
937,177,193,Co-accused,0.68,1419,1
938,177,319,Gang member,0.4,1590,3
939,178,184,Co-accused,0.6,400,1
940,178,292,Known associate,0.58,831,4
941,178,362,Gang member,0.79,1795,3
942,179,369,Co-accused,0.89,125,1
943,179,397,Gang member,0.86,442,3
944,180,247,Family,0.35,1385,2
945,180,299,Known associate,0.66,1734,4
946,182,264,Known associate,0.97,787,4
947,182,272,Known associate,0.95,1603,4
948,183,279,Gang member,0.32,685,3
949,184,310,Family,0.75,100,2
950,184,377,Known associate,0.87,584,4
951,184,251,Family,0.82,988,2
952,184,363,Family,0.94,1067,2
953,184,350,Co-accused,0.75,1257,1
954,185,202,Known associate,0.93,394,4
955,185,297,Known associate,0.91,1774,4
956,187,267,Gang member,0.37,1979,3
957,188,190,Gang member,0.44,309,3
958,188,303,Gang member,0.92,1992,3
959,189,296,Gang member,0.9,1025,3
960,190,382,Gang member,0.79,594,3
961,191,253,Gang member,0.33,729,3
962,191,355,Family,0.81,1034,2
963,192,244,Family,0.78,796,2
964,192,205,Family,0.58,1667,2
965,193,198,Co-accused,0.62,509,1
966,193,247,Co-accused,0.43,1372,1
967,194,230,Known associate,0.32,1288,4
968,194,262,Family,0.6,1421,2
969,194,307,Co-accused,0.96,1440,1
970,195,243,Known associate,0.31,151,4
971,195,303,Known associate,0.8,1222,4
972,196,237,Family,0.36,1152,2
973,197,385,Co-accused,0.59,166,1
974,197,243,Family,0.56,293,2
975,197,398,Gang member,0.4,1151,3
976,197,355,Known associate,0.65,1172,4
977,197,228,Co-accused,0.75,1746,1
978,198,271,Known associate,0.34,1594,4
979,199,358,Known associate,0.31,986,4
980,199,361,Known associate,0.44,1399,4
981,199,250,Family,0.66,1776,2
982,199,249,Gang member,0.52,1853,3
983,201,217,Family,0.34,1386,2
984,202,333,Co-accused,0.92,1058,1
985,203,323,Gang member,0.31,992,3
986,205,238,Family,0.37,969,2
987,205,251,Gang member,0.67,1065,3
988,207,223,Co-accused,0.71,134,1
989,207,385,Gang member,0.63,477,3
990,207,210,Co-accused,0.65,1542,1
991,208,395,Gang member,0.69,175,3
992,209,261,Co-accused,0.97,127,1
993,209,374,Family,0.91,972,2
994,209,391,Gang member,0.37,1514,3
995,209,396,Known associate,0.3,1713,4
996,209,236,Co-accused,0.63,1760,1
997,210,379,Known associate,0.62,1389,4
998,211,326,Co-accused,0.37,596,1
999,212,259,Co-accused,0.98,770,1
1000,212,270,Family,0.8,1422,2
1001,215,291,Known associate,0.82,223,4
1002,215,319,Gang member,0.59,1113,3
1003,215,288,Known associate,0.72,1890,4
1004,216,321,Co-accused,0.53,284,1
1005,216,379,Gang member,0.42,1663,3
1006,217,359,Co-accused,0.93,168,1
1007,217,298,Family,0.91,351,2
1008,217,300,Known associate,0.86,505,4
1009,217,392,Co-accused,0.64,602,1
1010,217,343,Family,0.44,1790,2
1011,219,400,Gang member,0.36,280,3
1012,219,267,Family,0.93,752,2
1013,219,381,Gang member,0.38,1007,3
1014,219,339,Known associate,0.4,1975,4
1015,220,254,Family,0.77,1072,2
1016,221,370,Family,0.86,564,2
1017,222,399,Known associate,0.54,118,4
1018,222,259,Gang member,0.97,426,3
1019,223,313,Family,0.76,288,2
1020,223,280,Co-accused,0.36,1650,1
1021,224,351,Gang member,0.52,1201,3
1022,224,235,Family,0.74,1289,2
1023,227,399,Known associate,0.38,86,4
1024,227,312,Gang member,0.72,1693,3
1025,229,317,Family,0.42,681,2
1026,229,257,Co-accused,0.84,1137,1
1027,229,356,Known associate,0.67,1849,4
1028,231,248,Gang member,0.59,1543,3
1029,232,354,Co-accused,0.91,283,1
1030,232,256,Gang member,0.5,1049,3
1031,232,318,Gang member,0.85,1769,3
1032,233,372,Co-accused,0.43,966,1
1033,234,236,Known associate,0.58,384,4
1034,235,364,Family,0.52,79,2
1035,235,260,Family,0.89,303,2
1036,235,254,Family,0.53,1671,2
1037,235,330,Known associate,0.75,1951,4
1038,236,237,Known associate,0.6,1846,4
1039,237,307,Known associate,0.51,560,4
1040,238,362,Known associate,0.68,60,4
1041,238,305,Co-accused,0.66,398,1
1042,239,274,Family,0.45,237,2
1043,240,277,Gang member,0.37,671,3
1044,240,328,Gang member,0.93,1798,3
1045,241,387,Known associate,0.66,357,4
1046,241,307,Family,0.97,824,2
1047,241,266,Known associate,0.87,1512,4
1048,241,293,Known associate,0.34,1601,4
1049,242,323,Co-accused,0.54,1525,1
1050,243,391,Gang member,0.52,250,3
1051,243,281,Family,0.56,269,2
1052,244,311,Family,0.53,665,2
1053,244,327,Family,0.73,1742,2
1054,246,370,Family,0.78,435,2
1055,246,334,Gang member,0.68,1193,3
1056,247,337,Known associate,0.51,712,4
1057,251,269,Family,0.35,1515,2
1058,252,352,Known associate,0.36,530,4
1059,252,382,Known associate,0.82,1129,4
1060,253,317,Gang member,0.48,876,3
1061,253,274,Co-accused,0.32,1402,1
1062,253,356,Known associate,0.84,1560,4
1063,255,279,Gang member,0.73,1659,3
1064,256,397,Family,0.6,324,2
1065,256,356,Family,0.56,1348,2
1066,256,328,Gang member,0.96,1732,3
1067,257,272,Co-accused,0.91,1614,1
1068,258,283,Family,0.74,55,2
1069,258,263,Gang member,0.92,1233,3
1070,259,279,Gang member,0.45,1204,3
1071,260,266,Family,0.61,1184,2
1072,261,350,Family,0.62,245,2
1073,261,262,Known associate,0.89,1177,4
1074,262,323,Co-accused,0.9,78,1
1075,263,274,Known associate,0.44,1749,4
1076,264,357,Family,0.93,601,2
1077,264,372,Co-accused,0.66,1516,1
1078,265,332,Co-accused,0.93,841,1
1079,267,303,Gang member,0.77,106,3
1080,271,390,Known associate,0.32,331,4
1081,272,337,Gang member,0.53,778,3
1082,272,327,Gang member,0.63,1420,3
1083,275,392,Co-accused,0.94,1919,1
1084,276,318,Family,0.44,588,2
1085,276,357,Gang member,0.87,1591,3
1086,276,305,Co-accused,0.45,1827,1
1087,277,287,Co-accused,0.61,1635,1
1088,279,369,Family,0.5,299,2
1089,280,291,Family,0.79,898,2
1090,280,350,Co-accused,0.89,1699,1
1091,282,292,Known associate,0.63,569,4
1092,282,295,Family,0.8,1906,2
1093,283,344,Family,0.67,229,2
1094,284,310,Known associate,0.54,845,4
1095,284,323,Family,0.73,1822,2
1096,286,344,Known associate,0.63,377,4
1097,286,299,Family,0.36,960,2
1098,286,367,Known associate,0.91,1118,4
1099,287,329,Co-accused,0.62,121,1
1100,287,333,Known associate,0.59,1638,4
1101,288,315,Co-accused,0.95,1005,1
1102,289,394,Gang member,0.86,148,3
1103,289,366,Known associate,0.37,1946,4
1104,290,304,Gang member,0.96,481,3
1105,293,367,Family,0.77,1267,2
1106,294,327,Family,0.57,1557,2
1107,295,304,Family,0.68,57,2
1108,297,356,Known associate,0.4,179,4
1109,297,338,Co-accused,0.46,1754,1
1110,298,342,Family,0.96,1056,2
1111,299,317,Known associate,0.34,1807,4
1112,302,368,Gang member,1,1381,3
1113,303,387,Known associate,0.94,133,4
1114,307,337,Known associate,0.37,963,4
1115,307,311,Known associate,0.83,1170,4
1116,308,344,Co-accused,0.81,350,1
1117,308,363,Family,0.56,1364,2
1118,310,387,Co-accused,1,1004,1
1119,311,394,Gang member,0.45,1208,3
1120,311,389,Gang member,0.89,1309,3
1121,311,362,Known associate,0.72,1578,4
1122,313,374,Family,0.61,836,2
1123,314,394,Gang member,0.8,200,3
1124,315,344,Family,0.9,501,2
1125,319,328,Co-accused,1,907,1
1126,321,355,Known associate,0.85,513,4
1127,322,339,Gang member,0.83,1792,3
1128,326,343,Family,0.34,1873,2
1129,329,344,Known associate,0.44,352,4
1130,331,347,Family,0.68,1327,2
1131,332,373,Family,0.35,1468,2
1132,335,385,Family,0.59,1842,2
1133,342,343,Family,0.41,1212,2
1134,342,381,Gang member,0.53,1396,3
1135,350,359,Known associate,0.58,855,4
1136,352,363,Co-accused,1,980,1
1137,352,396,Gang member,0.99,1446,3
1138,354,361,Co-accused,0.54,1985,1
1139,355,358,Gang member,0.95,441,3
1140,356,385,Gang member,0.78,368,3
1141,363,386,Known associate,0.69,1909,4
1142,364,366,Known associate,0.47,1718,4
1143,365,379,Co-accused,0.42,93,1
1144,377,396,Co-accused,0.32,1213,1
1145,383,395,Known associate,0.7,979,4
1146,385,396,Co-accused,0.52,409,1
1147,386,392,Co-accused,0.91,1498,1
1148,386,400,Known associate,0.37,1758,4
1149,387,393,Family,0.32,1489,2
