offender_id_a,offender_id_b,relationship_type,strength
287,333,Known associate,0.59
288,315,Co-accused,0.95
289,394,Gang member,0.86
289,366,Known associate,0.37
290,304,Gang member,0.96
293,367,Family,0.77
294,327,Family,0.57
295,304,Family,0.68
297,356,Known associate,0.4
297,338,Co-accused,0.46
298,342,Family,0.96
299,317,Known associate,0.34
302,368,Gang member,1
303,387,Known associate,0.94
307,337,Known associate,0.37
307,311,Known associate,0.83
308,344,Co-accused,0.81
308,363,Family,0.56
310,387,Co-accused,1
311,394,Gang member,0.45
311,389,Gang member,0.89
311,362,Known associate,0.72
313,374,Family,0.61
314,394,Gang member,0.8
315,344,Family,0.9
319,328,Co-accused,1
321,355,Known associate,0.85
322,339,Gang member,0.83
326,343,Family,0.34
329,344,Known associate,0.44
331,347,Family,0.68
332,373,Family,0.35
335,385,Family,0.59
342,343,Family,0.41
342,381,Gang member,0.53
350,359,Known associate,0.58
352,363,Co-accused,1
352,396,Gang member,0.99
354,361,Co-accused,0.54
355,358,Gang member,0.95
356,385,Gang member,0.78
363,386,Known associate,0.69
364,366,Known associate,0.47
365,379,Co-accused,0.42
377,396,Co-accused,0.32
383,395,Known associate,0.7
385,396,Co-accused,0.52
386,392,Co-accused,0.91
386,400,Known associate,0.37
387,393,Family,0.32
